Saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Reservert kapasitet (MW),Dato for når Statnett reserverte kapasitet til kunden,Kundens ønskede tilknytningstidspunkt,Kundens referanse,Kunde og tilknytningsansvarlig
23/01370,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Green Mountain AS,Datasenter,"18,5",25.09.2024,29.09.2027,,Heidi Hellesvik Ringstad
22/00529,Grenland,Telemark og Vestfold,NO2,Lede AS,INEOS Rafnes AS,Industri,18,05.02.2024,29.09.2034,,Geir Kåsa
24/01720,Bærheim,Sør Rogaland og Agder,NO2,Lnett AS,Kolumbus AS,Transport,18,11.04.2025,29.06.2026,,Ingvild Grøtterud Birkeland
23/01076,Alta tra,Nord,NO4,Alut As,Alta Havn,Transport,18,20.11.2025,24.06.2027,,Lars Erik Johansen
22/00643,Nedre Røssåga,Helgeland og Salten,NO4,Linea AS,Arctic Seafarm,Oppdrettsnæring,"17,6",09.02.2024,30.06.2026,,Ingvild Grøtterud Birkeland
21/00200,Arna,Bergen og Haugalandet,NO5,BKK AS,STATENS VEGVESEN,Transport,17,10.11.2022,01.07.2026,,Magnus Tennøe
21/00172,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 04 AS,Datasenter,16,25.01.2021,29.06.2033,,Heidi Hellesvik Ringstad
23/01145,Aurland2,Hallingdal og Ringerike,NO5,Sygnir AS,Aurland Hamnevesen,Transport,16,04.09.2025,30.04.2026,,Hans Olav Ween
21/00371,Åfjord,Midt,NO3,Tensio AS,Vikingbase,Oppdrettsnæring,"15,7",06.12.2023,31.12.2027,,Christopher Aarnseth Ruud
21/00437,Trollheim,Midt,NO3,Tensio AS,Wäcker Chemicals,Industri,"15,5",09.06.2022,30.12.2031,,Christopher Aarnseth Ruud
22/00550,Fræna,Midt,NO3,Elinett AS,Troll Housing AS,Datasenter,15,06.12.2023,01.07.2027,,Christopher Aarnseth Ruud
23/01304,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Odin Green DC AS,Datasenter,15,25.09.2024,29.09.2026,,Heidi Hellesvik Ringstad
25/02031,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Bulk AS,Datasenter,15,09.10.2025,30.12.2032,,Heidi Hellesvik Ringstad
23/01043,Moskog,Sogn og Sunnmøre,NO3,Linja AS,Havlandet Matfisk AS,Oppdrettsnæring,15,21.09.2023,29.11.2027,,Hans Olav Ween
22/00630,Boltås,Nord,NO4,Noranett AS,Rødskjær,Industri,15,02.01.2023,31.05.2027,,Lars Erik Johansen
23/01263,Smestad,"Oslo, Akershus og Østfold",NO1,Elvia As,OSLO HAVN KF,Transport,14,23.10.2024,29.06.2026,,Heidi Hellesvik Ringstad
22/00614,Kristiansand,Sør Rogaland og Agder,NO2,Glitre Nett AS,AKT,Transport,14,25.05.2025,30.12.2028,,Geir Kåsa
22/00544,Fræna,Midt,NO3,Elinett AS,Salmon Evolution,Oppdrettsnæring,"13,3",06.12.2023,01.03.2027,,Christopher Aarnseth Ruud
21/00163,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,Microsoft Datacenter Norway AS,Datasenter,13,07.05.2021,30.12.2028,,Heidi Hellesvik Ringstad
22/00598,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,Åsmyra Industripark,Industri,13,30.06.2023,30.03.2026,,Ingvild Grøtterud Birkeland
21/00435,Svartisen,Helgeland og Salten,NO4,Arva AS,Nova Sea,Oppdrettsnæring,13,30.06.2023,30.12.2026,,Ingvild Grøtterud Birkeland
23/01196,Høyanger,Sogn og Sunnmøre,NO3,Linja AS,Hydro Aluminium AS,Industri,13,16.11.2025,30.12.2031,,Hans Olav Ween
25/02325,Stølaheia,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain AS,Datasenter,"12,5",22.05.2024,31.03.2032,,Ingvild Grøtterud Birkeland
25/02114,Sogn,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Kommune Fornebubanen,Transport,"12,5",23.10.2024,29.06.2028,,Heidi Hellesvik Ringstad
21/00351,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,Sisomar Smolt,Oppdrettsnæring,"12,3",30.06.2023,30.12.2031,,Ingvild Grøtterud Birkeland
23/00821,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,Bulk Infrastructure Group AS,Datasenter,12,28.04.2025,29.06.2029,,Heidi Hellesvik Ringstad
23/01154,Fræna,Midt,NO3,Elinett AS,Salmon Evolution AS,Oppdrettsnæring,12,11.03.2020,31.12.2027,,Christopher Aarnseth Ruud
24/01545,Sylling,Hallingdal og Ringerike,NO1,Glitre Nett AS,Chemring Nobel AS,Industri,12,18.03.2025,30.12.2026,,Heidi Hellesvik Ringstad
23/01109,Fræna,Midt,NO3,Elinett AS,Plug Romsdal AS,Transport,12,06.12.2023,30.11.2026,,Christopher Aarnseth Ruud
23/00866,Narvik,Nord,NO4,Noranett AS,Plug Nord AS,Transport,12,08.10.2025,02.09.2026,,Lars Erik Johansen
24/01744,Moskog,Sogn og Sunnmøre,NO3,Linja AS,NORDFJORD HAVN IKS,Transport,12,12.11.2025,27.04.2028,,Hans Olav Ween
25/02504,Kobbvatnet,Helgeland og Salten,NO4,Kystnett As,TQC AS,Industri,11,27.09.2022,30.06.2028,,Ingvild Grøtterud Birkeland
21/00400,Flesaker,Telemark og Vestfold,NO1,Glitre Nett AS,Drammen fjernvarme,Industri,11,15.03.2023,30.12.2025,,Heidi Hellesvik Ringstad
24/01492,Bamble,Telemark og Vestfold,NO2,Lede AS,Recuro AS,Industri,11,10.04.2025,29.06.2029,,Geir Kåsa
25/02314,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain,Datasenter,10,27.05.2024,31.12.2025,,Ingvild Grøtterud Birkeland
24/01619,Vang,Innlandet,NO1,Elvia As,Eidsiva Bredbånd AS,Datasenter,10,22.01.2026,30.12.2035,,Heidi Hellesvik Ringstad
22/00660,Sildvik,Nord,NO4,Narvik Hydrogen AS,Narvik Hydrogen AS,Hydrogen/ammoniakk,10,30.10.2023,30.01.2027,,Lars Erik Johansen
23/01096,Moskog,Sogn og Sunnmøre,NO3,Linja AS,BUE SALMON AS,Oppdrettsnæring,10,12.01.2026,30.08.2028,,Hans Olav Ween
25/02315,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Norwegian Hydrogen,Hydrogen/ammoniakk,10,27.05.2024,31.12.2025,,Ingvild Grøtterud Birkeland
21/00283,Kårstø,Bergen og Haugalandet,NO2,Gassco AS,Gassco AS,Petroleum,10,15.05.2019,30.12.2029,,Magnus Tennøe
22/00516,Eidum,Midt,NO3,Tensio AS,Meråker Hydrogen AS,Hydrogen/ammoniakk,"9,2",06.12.2023,01.10.2027,,Christopher Aarnseth Ruud
21/00127,Stord,Bergen og Haugalandet,NO2,Fagne AS,Lerøy,Oppdrettsnæring,9,23.11.2023,30.09.2026,,Magnus Tennøe
23/01412,Kollsnes,Bergen og Haugalandet,NO5,BKK AS,H2 Production AS,Hydrogen/ammoniakk,9,19.03.2024,30.12.2029,,Magnus Tennøe
21/00036,Fræna,Midt,NO3,Elinett AS,Omya Hustadmarmor AS,Industri,9,15.10.2018,31.12.2028,,Christopher Aarnseth Ruud
22/00730,Dale,Bergen og Haugalandet,NO5,BKK AS,STATENS VEGVESEN,Transport,9,10.11.2022,01.04.2026,,Magnus Tennøe
24/01491,Sogn,"Oslo, Akershus og Østfold",NO1,Elvia As,Nye Rikshopistalet sykehus,Annet forbruk,9,12.02.2024,30.03.2030,,Heidi Hellesvik Ringstad
23/00896,Hof,Telemark og Vestfold,NO2,Lede AS,KOPSTAD GODSTERMINAL AS,Transport,"8,8",24.09.2023,30.03.2027,,Geir Kåsa
25/01986,Narvik,Nord,NO4,Noranett AS,Narvikfjellet Allmen AS,Industri,"8,5",20.08.2025,31.01.2028,,Lars Erik Johansen
24/01601,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,GREEN HORIZON AS,Datasenter,8,27.06.2024,31.12.2028,,Ingvild Grøtterud Birkeland
24/01721,Bærheim,Sør Rogaland og Agder,NO2,Lnett AS,Asp Eiendom AS,Datasenter,8,16.10.2024,30.12.2031,,Ingvild Grøtterud Birkeland
22/00709,Stord,Bergen og Haugalandet,NO2,Fagne AS,Alsaker Fjordbruk Øyerhamn Unitech og VGS Espevær,Oppdrettsnæring,8,10.12.2020,29.12.2027,,Magnus Tennøe
22/00708,Adamselv,Nord,NO4,Area Nett AS,Grieg Seafood,Oppdrettsnæring,8,23.03.2023,31.12.2025,,Lars Erik Johansen
23/01210,Hasle,"Oslo, Akershus og Østfold",NO1,Elvia As,Frevar KF,Industri,8,12.05.2025,30.12.2030,,Heidi Hellesvik Ringstad
24/01509,Hamang,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslofjord Varme AS,Annet forbruk,8,16.10.2024,30.12.2026,,Heidi Hellesvik Ringstad
24/01886,Rjukan,Telemark og Vestfold,NO2,Lede AS,Statkraft,Annet forbruk,8,12.02.2025,29.09.2030,,Geir Kåsa
24/01490,Furuset,"Oslo, Akershus og Østfold",NO1,Elvia As,Nye Aker sykehus,Annet forbruk,"7,8",12.02.2024,30.03.2027,,Heidi Hellesvik Ringstad
22/00685,Kvitfossen,Nord,NO4,Elmea AS,Oppdrett,Industri,"7,5",19.01.2023,30.11.2026,,Lars Erik Johansen
23/01116,Aura,Midt,NO3,Hydro Aluminium As,Hydro Aluminium AS,Industri,"7,5",14.03.2024,31.12.2028,,Christopher Aarnseth Ruud
25/02107,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,Arctic Sapphire,Industri,7,02.06.2019,29.06.2026,,Ingvild Grøtterud Birkeland
23/00927,Vardal,Innlandet,NO1,Elvia As,Nammo Raufoss AS,Industri,7,04.06.2023,06.11.2025,,Heidi Hellesvik Ringstad
22/00700,Ogndal,Midt,NO3,Tensio AS,MM Follacell,Industri,7,14.03.2025,01.10.2029,,Christopher Aarnseth Ruud
23/01198,Høyanger,Sogn og Sunnmøre,NO3,Linja AS,Hydro Aluminium AS,Industri,7,16.11.2025,29.01.2026,,Hans Olav Ween
23/01232,Ulven,"Oslo, Akershus og Østfold",NO1,Elvia As,HAFSLUND CELSIO AS,Annet forbruk,7,18.11.2024,29.06.2030,,Heidi Hellesvik Ringstad
23/00924,Midtfjellet,Bergen og Haugalandet,NO2,Fagne AS,Bolaks AS,Oppdrettsnæring,"6,9",23.11.2023,30.12.2027,,Magnus Tennøe
21/00333,Strinda,Midt,NO3,Tensio AS,NTNU Tyholt Marin center,Industri,"6,6",21.05.2021,30.12.2027,,Christopher Aarnseth Ruud
25/02313,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,GreenH Fiskå,Hydrogen/ammoniakk,"6,5",27.05.2024,31.12.2025,,Ingvild Grøtterud Birkeland
23/01213,Nedre Vinstra,Innlandet,NO1,Vevig As,Driva Aquaculture AS,Industri,"6,5",27.06.2024,29.06.2027,,Heidi Hellesvik Ringstad
25/02038,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,AVINOR AS,Transport,"6,5",29.06.2023,29.09.2027,,Ingvild Grøtterud Birkeland
21/00434,Svartisen,Helgeland og Salten,NO4,Arva AS,Helgeland Smolt AS,Oppdrettsnæring,"6,3",30.06.2023,29.09.2028,,Ingvild Grøtterud Birkeland
24/01620,Smestad,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Kommune Fornebubanen,Transport,"6,2",23.10.2024,29.06.2028,,Heidi Hellesvik Ringstad
24/01627,Kjelland,Sør Rogaland og Agder,NO2,Lnett AS,Kaupanes Hydrogen AS,Hydrogen/ammoniakk,6,27.06.2024,30.06.2027,,Ingvild Grøtterud Birkeland
23/01246,Grenland,Telemark og Vestfold,NO2,Herøya Nett As,LanzaTech,Industri,6,10.04.2025,31.12.2027,,Geir Kåsa
23/01371,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,RUTER AS,Transport,6,25.04.2025,29.09.2028,,Heidi Hellesvik Ringstad
23/01144,Høyanger,Sogn og Sunnmøre,NO3,Linja AS,Hydro Havrand,Hydrogen/ammoniakk,"5,8",24.09.2025,14.10.2025,,Hans Olav Ween
22/00625,Hinnøy,Nord,NO4,Noranett AS,Andfjord Salmon,Oppdrettsnæring,"5,6",20.02.2023,24.06.2027,,Lars Erik Johansen
22/00673,Vinnelys,Nord,NO4,Vissi AS,Lerøy,Oppdrettsnæring,"5,6",30.10.2023,31.05.2026,,Lars Erik Johansen
22/00696,Sautso,Nord,NO4,Vissi AS,Artic Core AS,Datasenter,5,08.10.2025,31.05.2026,,Lars Erik Johansen
23/00893,Skaidi,Nord,NO4,Lucerna AS,Cermaq,Oppdrettsnæring,5,30.03.2023,31.12.2025,,Lars Erik Johansen
25/02185,Kolsvik,Helgeland og Salten,NO4,Linea AS,AQUACULTURE INNOVATION AS,Oppdrettsnæring,5,08.02.2024,29.06.2025,,Ingvild Grøtterud Birkeland
23/01219,Niingen,Nord,NO4,Noranett AS,Bogen Aqua,Oppdrettsnæring,5,18.01.2026,30.01.2028,,Lars Erik Johansen
